行数	预测值			真实值
1305	全			优酷
1305	{'娱乐', '独家', '全'}		{'优酷', '娱乐', '全'}
1306	梅艳芳			我是歌手
1306	{'梅艳芳', '女人', '版'}		{'我是歌手'}
1307	也许			exo
1307	{'结婚', '也许', '妹子'}		{'exo'}
1308	情况			钟汉良
1308	{'关心', '本人', '情况'}		{'钟汉良'}
1309	成都			中国
1309	{'说唱', '成都', '谢帝'}		{'好', '中国', '歌曲'}
1310	杭州			杭州
1310	{'政策', '出', '杭州'}		{'限牌', '杭州'}
1311	不输给			花儿与少年
1311	{'笑容', '雨', '不输给'}		{'花儿与少年'}
1312	最终			叛逃
1312	{'最终', '930', '大结局'}		{'叛逃'}
1313	求			放过
1313	{'这张', '海报', '求'}		{'李佳航', '放过'}
1314	休息			最佳
1314	{'的', 'roommate', '休息'}		{'最佳', '室友', '朴灿烈'}
1315	不弃			国考
1315	{'不查', '不弃', '不离'}		{'国考', '公布', '成绩'}
1316	微博上			时尚
1316	{'微博上', '第一夫人', '直播'}		{'时尚', '热点'}
1317	场外			朴有天
1317	{'米', '热闹', '场外'}		{'广州', '见面会', '朴有天'}
1318	一枚			求古剑
1318	{'制作', '一枚', '哒'}		{'求古剑', '专场'}
1319	菜			为
1319	{'菜', '食材', '精良'}		{'点个', '为', '前任攻略'}
1320	首播			刘诗诗
1320	{'首播', '全球', '三个'}		{'刘诗诗', '步步惊情'}
1321	星期			来自星星的你
1321	{'星期', '两集', '更新'}		{'来自星星的你'}
1322	一年			花儿与少年
1322	{'害怕', '一年', '歌迷'}		{'花儿与少年'}
1323	via			马航
1323	{'via', '生命', '默哀'}		{'马航', '空难'}
1324	右下角			最强
1324	{'眼', '右下角', '两亿'}		{'天团', '最强'}
1325	有人			爸爸去哪儿
1325	{'真', '下午', '有人'}		{'费曼', '吴镇宇', '爸爸去哪儿'}
1326	萌			我们
1326	{'自然', '萌', '呆'}		{'我们', '爱', '都'}
1327	长沙			长沙
1327	{'长沙', '朋友圈', '转'}		{'长沙', '伍家岭', '砍'}
1328	反正			王思聪体
1328	{'不少', '反正', '少'}		{'王思聪体'}
1329	好像			冯绍峰
1329	{'冯叔', '好像', '求'}		{'冯绍峰', '删微博'}
1330	可爱			王源
1330	{'可爱', '很', '觉得'}		{'王源'}
1331	嘤			神探
1331	{'卷福', '嘤', 'cry'}		{'神探', '出柜', '夏洛克'}
1332	人官			triangle
1332	{'人官', '尼玛', '妈蛋'}		{'triangle'}
1333	饰			何以
1333	{'电视剧', '饰', '何以'}		{'默', '笙箫', '何以'}
1334	本人			于
1334	{'抄袭', '本人', '不'}		{'抄过', '正', '于'}
1335	繁华			小希爱
1335	{'褪去', '繁华', '才'}		{'八卦', '小希爱'}
1336	神			王诗龄
1336	{'神', '关系', '同步'}		{'我们', '王诗龄', '想'}
1337	相差			家有萌
1337	{'岁', '相差', '20'}		{'家有萌', '兄妹'}
1338	回到			上
1338	{'小学', '厕所', '回到'}		{'不', '上', '厕所'}
1339	保佑			考研
1339	{'保佑', '悬', '老天'}		{'成绩', '考研'}
1340	珍惜			愚人节
1340	{'行且', '不易', '珍惜'}		{'愚人节', '快乐'}
1341	公映			爸爸去哪儿
1341	{'影院', '公映', '今天'}		{'就是', '我', '爸爸去哪儿'}
1342	孙燕姿			孙燕姿
1342	{'站', '2014', '孙燕姿'}		{'2014', '新专辑', '孙燕姿'}
1343	角色			金贤
1343	{'尹智厚', '角色', '心中'}		{'你', '重带', '金贤'}
1344	天才			王思聪体
1344	{'天才', '不在乎', '交朋友'}		{'王思聪体'}
1345	飞			郑嘉颖
1345	{'的', '却', '飞'}		{'815', '生日快乐', '郑嘉颖'}
1346	样子			王源
1346	{'小', '样子', '签售会'}		{'王源'}
1347	热			neinei
1347	{'排', '热', '小盆友'}		{'neinei'}
1348	140728			秀智
1348	{'140728', '2crbaechimimissasuzy', 'runningman'}		{'秀智'}
1349	今天下午			小奇
1349	{'今天下午', '中国', '韩国'}		{'小奇', 'live', 'runningman'}
1350	决定			mikeaom
1350	{'前行', '决定', '携手'}		{'mikeaom', '巡回', '亚洲'}
1351	车展			北京
1351	{'车展', '2014', '北京'}		{'车展', '北京'}
1352	neinei			neinei
1352	{'长大', '爸爸', 'neinei'}		{'neinei'}
1353	回顾			张力尹
1353	{'多久', '系列', '回顾'}		{'张力尹', 'breath'}
1354	死			抄
1354	{'死', '心疼', '必须'}		{'抄', '家伙', '灭诺澜'}
1355	张翰			杉杉
1355	{'张翰', '赵丽颖', '杉杉'}		{'来', '了', '杉杉'}
1356	邓紫棋			邓紫棋
1356	{'邓紫棋', '金秀贤', '拍摄'}		{'邓紫棋', '金秀贤'}
1357	后			马航
1357	{'后', '2009', '名'}		{'马航', '客机', '失联'}
1358	日本			昆明
1358	{'日本', '觉得', '势力'}		{'暴力', '恐怖袭击', '昆明'}
1359	会			萧敬腾
1359	{'今天', '演唱', '会'}		{'萧敬腾', '加油'}
1360	公益			冰桶挑战
1360	{'冰桶挑战', '慈善', '公益'}		{'冰桶挑战'}
1361	黄奕			黄奕
1361	{'第一次', '黄奕', '迪'}		{'离婚', '提出', '黄奕'}
1362	不信			首尔
1362	{'不信', '以前', '冲动'}		{'大学', '女神', '首尔'}
1363	预售			金俊秀
1363	{'出演', '预售', '的'}		{'金俊秀'}
1364	陈			陈小春
1364	{'陈', '粉丝团', '小春'}		{'78', '陈小春', '生日快乐'}
1365	真心			贝儿
1365	{'两人', '真心', '好像'}		{'贝儿', 'feynman'}
1366	完			爱情公寓
1366	{'完', '一部', '电视剧'}		{'4', '爱情公寓'}
1367	歌词			昆凌
1367	{'周杰伦', '歌词', '我爱你'}		{'生日快乐', '昆凌'}
1368	伯贤			边伯贤
1368	{'年龄', '说话', '伯贤'}		{'边伯贤', '恋爱', '泰妍'}
1369	榜			陈伟霆
1369	{'名字', '榜', '名人'}		{'陈伟霆', '土豆', '813'}
1370	网友			王乔
1370	{'主持人', '身为', '网友'}		{'邓紫棋', '给', '王乔'}
1371	所谓			花千骨
1371	{'心', '有所', '所谓'}		{'花千骨'}
1372	吴亦凡			时间煮雨
1372	{'小时代', '演绎', '吴亦凡'}		{'时间煮雨', '3', '小时代'}
1373	卡通版			飞天
1373	{'卡通版', '小女警', '每次'}		{'小女警', '飞天'}
1374	小乔			帮
1374	{'近日', '小乔', '女'}		{'帮', '爷爷', '找小三'}
1375	这位			春晚
1375	{'后面', '这位', '对得起'}		{'春晚'}
1376	绿			新歌
1376	{'绿', '晚', '苏打'}		{'速递', '新歌'}
1377	以前			念念不忘
1377	{'空间', '刷屏', '以前'}		{'必有', '念念不忘', '回响'}
1378	姐姐			家有萌
1378	{'姐姐', '相差', '妹妹'}		{'家有萌', '兄妹'}
1379	几个			昆明
1379	{'证明', '一次', '几个'}		{'昆明'}
1380	惊呆			文章
1380	{'刘小', 'jojo', '惊呆'}		{'文章', '开房', '姚笛'}
1381	车			美拍
1381	{'动作', '跨上', '车'}		{'美拍'}
1382	娱乐圈			江铠同
1382	{'娱乐圈', '炒作', '麻烦'}		{'娱乐圈', '江铠同', '滚出'}
1383	精彩			男神
1383	{'徐静蕾', '非常', '精彩'}		{'男神', '笑', '终于'}
1384	故事			震惊
1384	{'中国好声音', '春晚', '故事'}		{'震惊', '春晚', '吐'}
1385	金秀贤			金秀贤
1385	{'4p', '金秀贤', 'crwehat'}		{'金秀贤'}
1386	张俪			张俪
1386	{'换成', '张俪', 'baby'}		{'张俪', '在', '王阳明'}
1387	今晚			我是歌手
1387	{'张杰', '今晚', '我是歌手'}		{'我是歌手'}
1388	家			跟着
1388	{'饭', '家', '貌似'}		{'鹿晗', '做', '跟着'}
1389	31			世界杯
1389	{'巴西', '世界杯', '31'}		{'世界杯'}
1390	24			华晨宇
1390	{'华晨宇', '24', 'yu'}		{'华晨宇', '0207', '生日快乐'}
1391	姑娘			南笙
1391	{'目前', '本身', '姑娘'}		{'不', '南笙', '哭'}
1392	周笔畅			我是歌手
1392	{'爱', '黑', '周笔畅'}		{'我是歌手'}
1393	百年			百年
1393	{'百年', '新娘', '放送'}		{'百年', '的', '新娘'}
1394	偶像			祝何
1394	{'偶像', '善待', '人以'}		{'祝何', '生日快乐', '老师'}
1395	特别			深圳
1395	{'特别', '妻子', '李小璐'}		{'产科', '卫视', '深圳'}
1396	逼			李代沫
1396	{'逗', '宝贝', '逼'}		{'向', '李代沫', '请'}
1397	警察			搜寻
1397	{'警察', '总监', '马来西亚'}		{'马航', '搜寻', '370'}
1398	歌			老子
1398	{'实力', '最有', '歌'}		{'老子', '明天', '不'}
1399	140312			黄子韬
1399	{'后面', '140312', '前面'}		{'黄子韬'}
1400	不同			tao
1400	{'原图', '不同', 'ps'}		{'tao'}
1401	元宵			帮
1401	{'惊讶', '芒果', '元宵'}		{'上', '徐怀钰', '帮'}
1402	十年			奶爸
1402	{'多多', '爸爸', '十年'}		{'萌娃', '奶爸', '牧场'}
1403	媒体			羊水
1403	{'的', '社会', '媒体'}		{'栓塞', '羊水'}
1404	中华			北京
1404	{'新', '中华', 'v5'}		{'车展', '北京'}
1405	时			田雨橙
1405	{'田雨橙', '初见', '时'}		{'田雨橙', '0415', '生日快乐'}
1406	调戏			郑爽
1406	{'调戏', '太久', '少爷'}		{'是', '郑爽', '值得'}
1407	肯定			爸爸
1407	{'肯定', '长大', '唯一'}		{'爸爸', '了', '回来'}
1408	一波三折			产妇
1408	{'一波三折', '栓塞', '羊水'}		{'丧命', '医护', '产妇'}
1409	428			国考
1409	{'两门', '428', '分差'}		{'国考', '公布', '成绩'}
1410	不再			马航
1410	{'不再', '239', '悲剧'}		{'马航', '飞机', '失联'}
1411	这种			王乔
1411	{'道歉', '这种', '觉得'}		{'邓紫棋', '给', '王乔'}
1412	样子			白举纲
1412	{'先来', '样子', '一部分'}		{'签动', '白举纲', '成都'}
1413	黄子韬			黄子韬
1413	{'宝贝', '更新', '黄子韬'}		{'生日快乐', '0502', '黄子韬'}
1414	回			exo
1414	{'加拿大', '回', '没事'}		{'解约', '吴亦凡', 'exo'}
1415	能手			快乐大本营
1415	{'614', '能手', '佑'}		{'快乐大本营', '男神季'}
1416	里			广州
1416	{'火车站', '里', '饭店'}		{'地铁', '广州', '踩踏'}
1417	50			巴西
1417	{'伤心', '50', '令'}		{'巴西', 'vs', '德国'}
1418	td			星装
1418	{'td', '刘诗诗', '吴奇隆'}		{'解析', '星装'}
1419	黑			张
1419	{'张杰', '黑', '尊重'}		{'张', '战', '杰出'}
1420	exo			行星
1420	{'多多', '理智', 'exo'}		{'利特', '饭为', '行星'}
1421	资格			厦门
1421	{'资格', '成长', '看到'}		{'奇迹', '宝宝', '厦门'}
1422	世界杯			德国
1422	{'来说', '世界杯', '球员'}		{'阿根廷', 'vs', '德国'}
1423	仔仔			欧豪
1423	{'微信', '豪', '仔仔'}		{'欧豪', '直击', '澳网'}
1424	三八			三八妇女节
1424	{'可爱', '三八', '美丽'}		{'三八妇女节'}
1425	一场			阿根廷队
1425	{'一场', '意志', '心理'}		{'加油', '阿根廷队'}
1426	学校			萧振
1426	{'学校', '现在', '觉得'}		{'高中学生', '跳楼', '萧振'}
1427	讨厌			小彩旗
1427	{'韩国', '讨厌', '脑残粉'}		{'小彩旗', '向', '请'}
1428	上海			上海
1428	{'上海', '全是', '屌丝'}		{'2014chinajoy', '上海'}
1429	马			马航
1429	{'时报', '马', '消息'}		{'马航', '失事', '飞机'}
1430	下班			黄海波
1430	{'下班', '男人', '有人'}		{'黄海波', '嫖娼', '被'}
1431	面膜			hws
1431	{'熬夜', '面膜', '相信'}		{'面膜', 'hws', '蕾丝'}
1432	朋友			任重
1432	{'我会', '姚笛', '朋友'}		{'侠', '接盘', '任重'}
1433	朴有天			朴有天
1433	{'少女', '最爱', '朴有天'}		{'朴有天'}
1434	答应			杜淳
1434	{'不当', '伴郎', '答应'}		{'杜淳', '伴郎', '专业户'}
1435	南海			马航
1435	{'救', '115', '南海'}		{'马航', '飞机', '失联'}
1436	事情			晚安
1436	{'事情', '每天', '无法'}		{'晚安'}
1437	孙燕姿			孙燕姿
1437	{'孙燕姿', '天后', '成为'}		{'孙燕姿'}
1438	鹿晗			鹿晗
1438	{'鹿晗', '激动', '进组'}		{'鹿晗'}
1439	元宵			李炜
1439	{'元宵', '见', '双节'}		{'李炜', '我们', '情人节'}
1440	不错			周笔畅
1440	{'复杂', '不错', '心情'}		{'时装周', '巴黎', '周笔畅'}
1441	飞机			马航
1441	{'飞机', '10', '中午'}		{'马航', '飞机', '失联'}
1442	影射			点金
1442	{'不', '影射', '万'}		{'胜手', '点金'}
1443	旅客			马航
1443	{'旅客', '名', '人员'}		{'被', '马航', '客机'}
1444	名人			吴世勋
1444	{'棒棒', '哒', '名人'}		{'吴世勋'}
1445	有种			爱情公寓
1445	{'感觉', '有种', '爱情公寓'}		{'大结局', '爱情公寓'}
1446	我家			王乔
1446	{'第一', '经纪人', '我家'}		{'邓紫棋', '给', '王乔'}
1447	刚刚			杉杉
1447	{'很', '激动', '刚刚'}		{'来', '了', '杉杉'}
1448	春晚			李敏镐
1448	{'春晚', '上', '李敏镐'}		{'春晚', '上', '李敏镐'}
1449	阅读			四六级
1449	{'阅读', '熊', '瞧'}		{'四六级', '成绩'}
1450	是不是			刘谦
1450	{'不能', '是不是', '永远'}		{'xyif', '刘谦'}
1451	美			那些
1451	{'25', '美', '18'}		{'年', '那些', '我长'}
1452	三			朴槿惠
1452	{'新闻照片', '三', '精选'}		{'朴槿惠'}
1453	假			hotelking
1453	{'假', '兄妹', '八年'}		{'hotelking'}
1454	sone			我们
1454	{'sone', '哭', '泰妍'}		{'我们', '的', '金泰妍'}
1455	男生			吴亦凡
1455	{'造型', '男生', '干净'}		{'吴亦凡'}
1456	尼玛			逆天
1456	{'后', '尼玛', '蛋蛋'}		{'后', '逆天', '00'}
1457	喝			冰封
1457	{'一杯', '喝', '有人'}		{'冰封', '活人'}
1458	唱			周杰伦
1458	{'唱', '周杰伦', '一针见血'}		{'周杰伦'}
1459	贝儿			贝儿
1459	{'贝儿', '官配', 'feynman'}		{'贝儿', 'feynman'}
1460	杀青			新娘
1460	{'今日', '倪妮', '杀青'}		{'新娘', '作战', '大'}
1461	电视			中国好声音
1461	{'电视', '声音', '成为'}		{'好', '中国', '中国好声音'}
1462	起来			有
1462	{'费曼', '小王子', '起来'}		{'一种', '父亲', '有'}
1463	梁博			新
1463	{'梁博', '合照', '人会'}		{'的', '梁博', '新'}
1464	主持			春晚
1464	{'这段', '大', '主持'}		{'春晚'}
1465	赶紧			李敏镐
1465	{'赶紧', '一枚', '睡觉'}		{'李敏镐'}
1466	听说			金玉良缘
1466	{'听说', '少爷', '媳妇儿'}		{'金玉良缘'}
1467	师尊			张智尧
1467	{'师尊', '帅'}		{'张智尧', '古剑奇谭'}
1468	是不是			happy818gday
1468	{'是不是', '每次', '怀疑'}		{'happy818gday'}
1469	粑			吴镇宇
1469	{'更是', '粑', '煲'}		{'吴镇宇'}
1470	via			周一
1470	{'via', '完整版', '搜狐'}		{'见', '周一'}
1471	人气			鲁邦
1471	{'封面人物', '出演', '人气'}		{'鲁邦', '三世', '言承旭'}
1472	李敏镐			李敏镐
1472	{'好开心', '李敏镐', '大萌'}		{'李敏镐'}
1473	发生			昆明
1473	{'事件', '卫视', '发生'}		{'火车站', '砍', '昆明'}
1474	链接			少女时代
1474	{'站', '链接', '内'}		{'少女时代'}
1475	噢			春晚
1475	{'噢', '红包', '宝贝'}		{'春晚'}
1476	1			吴镇宇
1476	{'的', '最', '1'}		{'看', '我要', '吴镇宇'}
1477	的			马航
1477	{'的', '24', '信号'}		{'马航', '航班', '失联'}
1478	赵薇			赵薇
1478	{'赵薇', '巴黎', '提问'}		{'时装周', '赵薇', '巴黎'}
1479	青年			南京
1479	{'青奥', '青年', '南京'}		{'青奥会', '南京'}
1480	gif			李娜
1480	{'体育', '提供', 'gif'}		{'李娜', '被', '领导'}
1481	播放			冰桶挑战
1481	{'播放', '点此', 'als'}		{'美拍', '冰桶挑战'}
1482	一年			新
1482	{'是否', '前', '一年'}		{'的', '梁博', '新'}
1483	却			战
1483	{'却', '艾玛', '电视剧'}		{'长沙', '战'}
1484	世界			宫锁
1484	{'永恒', '世界', '幸福'}		{'宫锁', '连城'}
1485	汇率			中国
1485	{'习', '应援', '汇率'}		{'中国', '男团', '超级'}
1486	戳			金曲
1486	{'戳', '新浪', '台湾'}		{'金曲', '奖', '25'}
1487	原谅			随手拍
1487	{'原谅', '姿势', '我涛涛'}		{'随手拍'}
1488	长			那些
1488	{'长', '许淑钰钰淑许', '美图'}		{'年', '那些', '我长'}
1489	明明			exo
1489	{'也许', '明明', '说好'}		{'快乐大本营', 'exo'}
1490	chu			午间
1490	{'主', 'chu', '太阳'}		{'话题', '午间'}
1491	16			点金
1491	{'优酷', '唔', '16'}		{'胜手', '点金'}
1492	一眼			刘谦
1492	{'没', '一眼', '委屈'}		{'xyif', '刘谦'}
1493	选择			胡夏
1493	{'选择', '地老天荒'}		{'胡夏'}
1494	珠宝			且
1494	{'承诺', '珠宝', '请'}		{'行且', '且', '珍惜'}
1495	三心二意			有
1495	{'丰富', '不好', '三心二意'}		{'一种', '美', '有'}
1496	快			mh370
1496	{'快', '回来', '猜'}		{'mh370', '寻人'}
1497	黑匣子			97
1497	{'黑匣子', '97', '录音'}		{'空难', '南航', '97'}
1498	孩子			女童
1498	{'韩国', '孩子', '想起'}		{'被', '女童', '下体'}
1499	大学			那些
1499	{'大学', '小学', '高中'}		{'年', '那些', '我长'}
1500	火火			小苹果
1500	{'火火', '脑', '小苹果'}		{'小苹果'}
1501	拉			茜
1501	{'kaliannakshanyanyilaguapaminggudepanlaguenglishataucinakalianrasamacammanabagitaushalanishatranslatehehebyshahilaamzah', '茜', '拉'}		{'茜', '拉'}
1502	晚安			卓文萱
1502	{'唐禹哲', '晚安', '萱'}		{'生日快乐', '卓文萱', '0120'}
1503	mv			sm
1503	{'里', 'mv', '第一个'}		{'sm', '女团', '新'}
1504	近日			茶叶蛋
1504	{'近日', '播出', '茶叶蛋'}		{'茶叶蛋'}
1505	get			李代沫
1505	{'get', '减肥', '吸毒'}		{'被', '李代沫', '吸毒'}
1506	高			王思聪体
1506	{'不在乎', '反正', '高'}		{'王思聪体'}
1507	转			十万个
1507	{'段子', '动腻', '转'}		{'小肉', '十万个', '段'}
1508	接到			刘德华
1508	{'黑', '接到', '瘦'}		{'刘德华'}
1509	戚薇			戚薇
1509	{'后援会', '戚薇', '哥哥'}		{'被', '戚薇', '玩坏'}
1510	梦			庚澈
1510	{'做个', '晚安', '梦'}		{'庚澈'}
1511	140815			吴亦凡
1511	{'140815', 'kris', '凡'}		{'吴亦凡'}
1512	热			求越
1512	{'热', '好开心', '搜'}		{'求越', '芙', '发糖'}
1513	辟谣			神探
1513	{'愚人节', '辟谣', '微'}		{'神探', '出柜', '夏洛克'}
1514	夫妇			新闻
1514	{'女王', '夫妇', '抵达'}		{'新闻'}
1515	一名			马航
1515	{'一名', '号码', '家属'}		{'马航', '航班', '失联'}
1516	哭			来自星星的你
1516	{'每次', '哭', '直播'}		{'17', '来自星星的你'}
1517	19			李易峰
1517	{'同学', '李易峰', '19'}		{'李易峰'}
1518	欧豪			临时
1518	{'欧豪', '欢乐', '性感'}		{'同居', '空中', '临时'}
1519	东方			马航
1519	{'东方', '全程', '卫视'}		{'马航', '飞机', '失联'}
1520	我会			张翰
1520	{'我会', '强', '够'}		{'张翰', '郑爽'}
1521	一年			娜娜
1521	{'初夏', '时节', '一年'}		{'生快', '娜娜'}
1522	历练			帮
1522	{'后会', '征程', '历练'}		{'上', '徐怀钰', '帮'}
1523	neinei			尊新闻
1523	{'neinei', '腾讯', '独立'}		{'尊新闻'}
1524	张智尧			bilibili
1524	{'张智尧', '动画', '影视'}		{'动画', 'bilibili'}
1525	病			亚洲
1525	{'灭', '曝光', '病'}		{'亚洲', '明星', '最丑'}
1526	爸爸去哪儿			陆毅
1526	{'没', '贴', '爸爸去哪儿'}		{'陆毅', '儿', '小贝'}
1527	作品			花样
1527	{'看点', '作品', '首页'}		{'花样', '天使', '宋茜'}
1528	一波			午间
1528	{'曝', '出轨', '一波'}		{'话题', '午间'}
1529	夫妇			霍建华
1529	{'夫妇', '逗', '监测'}		{'霍建华'}
1530	死亡			行尸走肉
1530	{'应该', '死亡', '米卡'}		{'行尸走肉', '第四季'}
1531	纳吉布			马航
1531	{'纳吉布', '日晚', '24'}		{'马航', '飞机', '失联'}
1532	一生			冰桶挑战
1532	{'一生', '作家', '影响'}		{'冰桶挑战'}
1533	带走			宋茜
1533	{'带走', '捧', '当初'}		{'茧镇奇缘', '宋茜'}
1534	grace			薯条
1534	{'爬山', '曹格', 'grace'}		{'爸爸', '曹格', '薯条'}
1535	唱歌			林俊杰
1535	{'最佳', '4p', '唱歌'}		{'林俊杰', '生日快乐'}
1536	李娜			李娜
1536	{'李娜', 'cecspot', '冠军'}		{'李娜'}
1537	密码			朴有天
1537	{'a96n', '看吧', '密码'}		{'朴有天'}
1538	这张			朴正洙
1538	{'这张', '图虐', 'crmizukinyu'}		{'坚强', '朴正洙', '请'}
1539	远些			鹿晗
1539	{'远些', '留言', '那条'}		{'鹿晗', '单条', '微博'}
1540	浙江			爸爸
1540	{'真', '卫视', '浙江'}		{'爸爸', '了', '回来'}
1541	代表			马航
1541	{'今日', '全国', '代表'}		{'马航', '飞机', '失联'}
1542	男人			快乐大本营
1542	{'李维嘉', '男人', '李'}		{'快乐大本营', '男神季'}
1543	回家			周杰伦
1543	{'回家', '今晚', '教'}		{'上海', '周杰伦', '演唱会'}
1544	过来			崔雪莉
1544	{'过来', '完全', '反应'}		{'崔雪莉'}
1545	次			杨幂
1545	{'次', '完全', '统计'}		{'杨幂', '新婚', '快乐'}
1546	一步			吴镇宇
1546	{'一步', 'mv', '吴镇宇'}		{'美拍', '费曼', '吴镇宇'}
1547	台湾			金曲
1547	{'戳', '新浪', '台湾'}		{'金曲', '奖', '25'}
1548	影像			马航
1548	{'最新', '影像', '高分辨率'}		{'马航', '飞机', '失联'}
1549	家长			中国式
1549	{'孩子', '家长', '内'}		{'中国式', '家长'}
1550	土豪			茶叶蛋
1550	{'姐', '土豪', '台湾'}		{'茶叶蛋'}
1551	榜首			花样
1551	{'占据', '榜首', '双榜'}		{'花样', '天使', '宋茜'}
1552	五个			点金胜手
1552	{'字', '五', '五个'}		{'点金胜手'}
1553	佟丽娅			思诚
1553	{'佟丽娅', '陈思诚', '新婚'}		{'疯爱', '丫丫', '思诚'}
1554	偶像			跃
1554	{'偶像', '黄', 'exo'}		{'跃', '跳跃', '高'}
1555	依然			依然
1555	{'周五', '依然', '很多'}		{'体', '依然'}
1556	先生			男朋友
1556	{'水平', '皮卡丘', '先生'}		{'男朋友', '镜头', '中'}
1557	记得			林心如
1557	{'记得', '如萍', '以前'}		{'0127', '林心如', '生日快乐'}
1558	140815			林允儿
1558	{'140815', '8p', '首尔'}		{'林允儿'}
1559	李敏镐			春晚
1559	{'身穿', '欧巴', '李敏镐'}		{'春晚'}
1560	谢谢			鹿晗
1560	{'没', '工作', '谢谢'}		{'鹿晗', '0420', '生日快乐'}
1561	发			胡歌
1561	{'发', '已经', '虐死'}		{'胡歌', '抢婚', '去'}
1562	接机			张艺兴
1562	{'视频', '接机', '出来'}		{'张艺兴'}
1563	写			琼瑶
1563	{'原创', '字', '写'}		{'琼瑶', '举报', '于'}
1564	140705tlpin			边伯贤
1564	{'成都', 'exo', '140705tlpin'}		{'边伯贤'}
1565	反正			王思聪体
1565	{'钱', '反正', '有没有'}		{'王思聪体'}
1566	赵薇			赵薇
1566	{'赵薇', '好久', '回应'}		{'时装周', '赵薇', '巴黎'}
1567	ss			爱奇艺
1567	{'ss', '之羽泉', '唱出'}		{'红包', '让', '爱奇艺'}
1568	只			李小璐
1568	{'知道', '只', '容易'}		{'放生', '李小璐'}
1569	青春			周杰伦
1569	{'同桌的你', '青春', '昨天'}		{'世界', '魔天伦', '周杰伦'}
1570	姚笛			姚笛
1570	{'错', '三', '姚笛'}		{'错', '有', '姚笛'}
1571	0624			尼坤
1571	{'khunnie', '0624', '140624'}		{'0624', '尼坤', '生日快乐'}
1572	咔			汪东城
1572	{'方式', '咔', '打开'}		{'汪东城', '唐禹', '哲出'}
1573	坏			微视
1573	{'卖萌', '笑', '坏'}		{'就', '本来', '微视'}
1574	足以			马航
1574	{'紧急', '足以', '所有'}		{'马航', '航班', '失联'}
1575	韬			支持
1575	{'子', '韬', '黄'}		{'黄子韬', '支持'}
1576	心动			有
1576	{'男神', '心动', '佟丽娅'}		{'一种', '心动', '有'}
1577	有点			今日
1577	{'有点', '却', '算不上'}		{'今日', '主打', '星'}
1578	85			言承旭
1578	{'85', '日本', '言承旭'}		{'言承旭'}
1579	and			2014
1579	{'and', '张杰', '金秀贤'}		{'2014', '青奥会', '南京'}
1580	重			张翰
1580	{'心里', '之后', '重'}		{'张翰', '花儿与少年'}
1581	王乔			王乔
1581	{'邓紫棋', '吐槽', '王乔'}		{'邓紫棋', '给', '王乔'}
1582	幂			杨幂
1582	{'终于', '刷', '幂'}		{'杨幂', '新婚', '快乐'}
1583	解说			微
1583	{'解说', '点球', '比赛'}		{'世界杯', '5', '微'}
1584	团圆			如果
1584	{'见到', '团圆', '2pm'}		{'爱', '如果'}
1585	夫妇			香蕉
1585	{'认为', '夫妇', '牛奶'}		{'夫妇', '香蕉', '牛奶'}
1586	脾气			爸爸去哪儿
1586	{'怪', '吴镇宇', '脾气'}		{'费曼', '吴镇宇', '爸爸去哪儿'}
1587	拯救			冰雪
1587	{'拯救', '世界', '需要'}		{'奇缘', '冰雪'}
1588	abc			英语
1588	{'abc', '猜不透', 'saybye'}		{'英语', '高考', '退出'}
1589	伟霆			陈伟霆
1589	{'陈', '伟霆', '名人'}		{'陈伟霆'}
1590	完全			韦唯
1590	{'儿子', '完全', 'cry'}		{'儿子', '韦唯'}
1591	c罗			c罗
1591	{'c罗', '基友', '哭'}		{'c罗', '不哭'}
1592	只能			利特
1592	{'坚强', '只能', '部队'}		{'利特', '坚强', '请'}
1593	即刻			蒋欣
1593	{'曙光', '在乎', '即刻'}		{'蒋欣', '你', '请'}
1594	下载			doctor
1594	{'1080p', '1080pcut', '下载'}		{'异乡人', 'doctor'}
1595	好像			韦唯
1595	{'找到', '好像', '没人'}		{'儿子', '韦唯'}
1596	外交部			马航
1596	{'发言人', '秦刚', '外交部'}		{'马航', '飞机', '失联'}
1597	明天			李炜
1597	{'明天', '情人节', '元宵节'}		{'李炜', '我们', '情人节'}
1598	一笑			陈晓
1598	{'帮', '动图', '一笑'}		{'陈晓', '赵丽颖', '元宵'}
1599	中文			权力
1599	{'中文', '预告', '第四季'}		{'的', '游戏', '权力'}
1600	xi			李敏镐
1600	{'一次', 'xi', '1'}		{'李敏镐'}
1601	扒			周笔畅
1601	{'不会', '不是', '扒'}		{'给', '周笔畅', '请'}
1602	记得			一
1602	{'视频', '拍', '记得'}		{'又', '二分之一', '一'}
1603	想起			张力尹
1603	{'榜', '想起', '热门'}		{'张力尹'}
1604	哥哥			李易峰
1604	{'校草', '国民', '哥哥'}		{'李易峰'}
1605	不弃			加油
1605	{'不弃', '不离', '凡凡'}		{'加油', '吴亦凡'}
1606	关注			林俊杰
1606	{'3', '关注', '江苏'}		{'0327', '林俊杰', '生日快乐'}
1607	男神			邓紫棋
1607	{'男神', '一看', '干嘛'}		{'邓紫棋', '我们', '喜欢'}
1608	五百年			庚澈
1608	{'复活', '做梦', '五百年'}		{'庚澈'}
1609	劫			急诊
1609	{'夫妇', '劫', '所谓'}		{'急诊', '男女'}
1610	大人			美拍
1610	{'看看', '拍', '大人'}		{'美拍'}
1611	推荐			刘诗诗
